Authors	Title	Venue	Year	Link	arXiv	Category	Topics
Dipendra Kumar Misra and Yoav Artzi	Neural Shift-Reduce CCG Semantic Parsing			"<a href=""http://aclweb.org/anthology/D/D16/D16-1183.pdf"">PDF</a>, <a href=""http://aclweb.org/anthology/attachments/D/D16/D16-1183.Attachment.pdf"">Supplement</a>"		"Parsing, +CCG"	
"Nima Pourdamghani, Yang Gao, Ulf Hermjakob and Kevin Knight"	Aligning English Strings with Abstract Meaning Representation Graphs 	Proc. EMNLP	2014	"<a href=""http://www.isi.edu/natural-language/mt/amr_eng_align.pdf"">pdf</a>, <a href=""http://www.isi.edu/natural-language/mt/dev-gold.txt"">dev data</a>, <a href=""http://www.isi.edu/natural-language/mt/test-gold.txt"">test data</a>"		Alignment	
"M. Damonte, S. B. Cohen, G. Satta"	An Incremental Parser for Abstract Meaning Representation	Proc. EACL	2017	"<a href=""https://github.com/mdtux89/amr-eager"">Parser code</a>, <a href=""https://github.com/mdtux89/amr-evaluation"">Eval code</a>"	https://arxiv.org/abs/1608.06111	"Parsing, Transition-based, + neural"	
"Fuad Issa, Marco Damonte, Shay B. Cohen, Xiaohui Yan, Yi Chang"	Abstract Meaning Representation for Paraphrase Detection	NAACL-HLT	2018	http://aclweb.org/anthology/N18-1041		 	paraphrase detection
"Marco Damonte, Shay B. Cohen"	Cross-Lingual Abstract Meaning Representation Parsing	NAACL-HLT	2018	http://aclweb.org/anthology/N18-1104		 	cross-lingual
"Ida Szubert, Adam Lopez, Nathan Schneider"	A Structured Syntax-Semantics Interface for English-AMR Alignment	NAACL-HLT	2018	http://aclweb.org/anthology/N18-1106		"Alignment, Syntax/grammar"	"UD, structural alignment"
"David Vilares, Carlos Gómez-Rodríguez"	A Transition-Based Algorithm for Unrestricted AMR Parsing	NAACL-HLT	2018	http://aclweb.org/anthology/N18-2023		 	transition based
"Chuan Wang, Bin Li, Nianwen Xue"	Transition-Based Chinese AMR Parsing	NAACL-HLT	2018	http://aclweb.org/anthology/N18-2040		"Multilingual, Parsing, +Transition-based"	"chinese, transition base"
"D. Chiang, J. Andreas, D. Bauer, K. M. Hermann, B. Jones, and K. Knight"	Parsing Graphs with Hyperedge Replacement Grammars	Proc. ACL	2013	http://aclweb.org/anthology/P13/P13-1091.pdf		"Parsing, +graph grammar"	
"J. Goodman, A. Vlachos, and J. Naradowsky"	Noise Reduction and Targeted Exploration in Imitation Learning for Abstract Meaning Representation Parsing	Proc. ACL	2016	http://aclweb.org/anthology/P16-1001		"Parsing, Imitation Learning/Learning to Search, +Transition-based"	
"Chunchuan Lyu, Ivan Titov"	AMR Parsing as Graph Prediction with Latent Alignment	ACL	2018	http://aclweb.org/anthology/P18-1037	https://arxiv.org/abs/1805.05286	 	
"Yufei Chen, Weiwei Sun, Xiaojun Wan"	Accurate SHRG-Based Semantic Parsing	ACL	2018	http://aclweb.org/anthology/P18-1038		 	SHRG
"Linfeng Song, Yue Zhang, Zhiguo Wang and Daniel Gildea"	A Graph-to-Sequence Model for AMR-to-Text Generation	ACL	2018	http://aclweb.org/anthology/P18-1150	https://arxiv.org/abs/1805.02473	 	graph2seq
"Jonas Groschwitz, Matthias Lindemann, Meaghan Fowlie, Mark Johnson, Alexander Koller"	AMR dependency parsing with a typed semantic algebra	ACL	2018	http://aclweb.org/anthology/P18-1170	https://arxiv.org/abs/1805.11465	 	"typed semantic algebra, graph algebra"
"Sebastian Beschke, Wolfgang Menzel"	Graph Algebraic Combinatory Categorial Grammar	*SEM	2018	http://aclweb.org/anthology/S18-2006		Syntax/grammar	"graph algebra, ccg"
"Richard Crouch, Aikaterini-Lida Kalouli"	Named Graphs for Semantic Representation	*SEM	2018	http://aclweb.org/anthology/S18-2013		 	named graphs
"Nima Pourdamghani, Kevin Knight, and Ulf Hermjakob"	Generating English from Abstract Meaning Representations	Proc. of INLG	2016	http://aclweb.org/anthology/W/W16/W16-6603.pdf		Generation/Summarization	
"L. Banarescu, C. Bonial, S. Cai, M. Georgescu, K. Griffitt, U. Hermjakob, K. Knight, P. Koehn, M. Palmer, and N. Schneider"	Abstract Meaning Representation for Sembanking	 Proc. Linguistic Annotation Workshop	2013	http://amr.isi.edu/a.pdf		Annotation scheme	
Ulf Hermjakob	AMR Editor: A tool to build Abstract Meaning Representations	Manuscript.		http://amr.isi.edu/papers/amr-editor-ulf2013a.pdf		Annotation scheme	
S. Cai and K. Knight	Smatch: an Evaluation Metric for Semantic Feature Structures	Proc. ACL	2013	http://amr.isi.edu/smatch-13.pdf		Evaluation	
"Yanshan Wang, Sijia Liu, Majid Rastegar-Mojarad, Liwei Wang, Feichen Shen, Fei Liu, Hongfang Liu"	Dependency and AMR Embeddings for Drug-Drug Interaction Extraction from Biomedical Literature	Proc. ACM-BCB	2017	http://dl.acm.org/ft_gateway.cfm?id=3107426&ftid=1899900&dwn=1&CFID=975190606&CFTOKEN=20370168		Applications	
"G. Burns, U. Hermjakob, J. L. Ambite"	Abstract Meaning Representation as Linked Data	Proc. International Semantic Web Conference Resources Track	2016	http://link.springer.com/chapter/10.1007/978-3-319-46547-0_2		Applications	
"Li Song, Yuan Wen, Sijia Ge, Bin Li, Junsheng Zhou, Weiguang Qu, Nianwen Xue"	An Easier and Efficient Framework to Annotate Semantic Roles: Evidence from the Chinese AMR Corpus	Workshop on Asian Language Resources	2018	http://lrec-conf.org/workshops/lrec2018/W29/pdf/15_W29.pdf		Multilingual	"sem roles, chinese"
"K. Werling, G. Angeli, and C. Manning"	Robust Subgraph Generation Improves Abstract Meaning Representation Parsing	Proc. ACL	2015	http://nlp.stanford.edu/pubs/2015werling-amr.pdf		"Parsing, +graph-based"	
"Lucia Donatelli, Michael Regan, William Croft, Nathan Schneider"	Annotation of tense and aspect semantics for sentential AMR	LAW-MWE-CxG	2018	http://people.cs.georgetown.edu/nschneid/p/amrtenseaspect.pdf		Annotation scheme	tense and aspect
Wei-Te Chen and Martha Palmer	Unsupervised AMR-Dependency Parse Alignment	Proc. EACL	2017	http://verbs.colorado.edu/~wech5560/paper/EACL17.pdf		Alignment	
Johan Bos	Squib: Expressive Power of Abstract Meaning Representations	Computational Linguistics 42(3)	2016	http://www.aclweb.org/anthology/J/J16/J16-3006.pdf		Annotation scheme	
"X. Peng, L. Song, and D. Gildea"	A Synchronous Hyperedge Replacement Grammar based approach for AMR parsing	Proc. CoNLL	2015	http://www.aclweb.org/anthology/K/K15/K15-1004.pdf		"Parsing, +graph grammar"	
"Y. Sawai, H. Shindo, and Y. Matsumoto"	Semantic Structure Analysis of Noun Phrases using Abstract Meaning Representation	Proc. ACL	2015	http://www.aclweb.org/anthology/P15-2140		"Parsing, Transition-based"	
"C. Wang, N. Xue, and S. Pradhan"	Boosting Transition-based AMR Parsing with Refined Actions and Auxiliary Analyzers	Proc. ACL	2015	http://www.aclweb.org/anthology/P15-2141.pdf		"Parsing, Transition-based"	
Wei-Te Chen	Learning to Map Dependency Parses to Abstract Meaning Representations	ACL-IJCNLP Student Research Workshop	2015	http://www.aclweb.org/anthology/P15-3007		Alignment	
"Jonathan May, Jay Priyadarshi"	SemEval-2017 Task 9: Abstract Meaning Representation Parsing and Generation	SemEval	2017	http://www.aclweb.org/anthology/S17-2090		 	semeval
"Gerasimos Lampouras, Andreas Vlachos"	Sheffield at SemEval-2017 Task 9: Transition-based language generation from AMR	SemEval	2017	http://www.aclweb.org/anthology/S17-2096		 	"semeval, transition"
"Khoa Nguyen, Dang Nguyen"	UIT-DANGNT-CLNLP at SemEval-2017 Task 9: Building Scientific Concept Fixing Patterns for Improving CAMR	SemEval	2017	http://www.aclweb.org/anthology/S17-2156		 	"semeval, scientific articles"
"Jan Buys, Phil Blunsom"	Oxford at SemEval-2017 Task 9: Neural AMR Parsing with Pointer-Augmented Attention	SemEval	2017	http://www.aclweb.org/anthology/S17-2157		 	"semeval, pointer attention"
"Simon Mille, Roberto Carlini, Alicia Burga, Leo Wanner"	FORGe at SemEval-2017 Task 9: Deep sentence generation based on a sequence of graph transducers	SemEval	2017	http://www.aclweb.org/anthology/S17-2158		 	graph transducers
"Normunds Gruzitis, Didzis Gosko, Guntis Barzdins"	RIGOTRIO at SemEval-2017 Task 9: Combining Machine Learning and Grammar Engineering for AMR Parsing and Generation	SemEval	2017	http://www.aclweb.org/anthology/S17-2159		 	grammar engineering
"Rik van Noord, Johan Bos"	The Meaning Factory at SemEval-2017 Task 9: Producing AMRs with Neural Semantic Parsing	SemEval	2017	http://www.aclweb.org/anthology/S17-2160		 	character based
"Sudha Rao, Daniel Marcu, Kevin Knight, Hal Daumé III"	Biomedical Event Extraction using Abstract Meaning Representation	Proc. BioNLP	2017	http://www.aclweb.org/anthology/W/W17/W17-2315.pdf		Applications	
"Thiago Castro Ferreira, Iacer Calixto, Sander Wubben, Emiel Krahmer"	Linguistic realisation as machine translation: Comparing different MT models for AMR-to-text generation	INLG	2017	http://www.aclweb.org/anthology/W17-3501		Generation/Summarization	MT
"Jonas Groschwitz, Meaghan Fowlie, Mark Johnson, Alexander Koller"	A constrained graph algebra for semantic parsing with AMRs	IWCS	2017	http://www.aclweb.org/anthology/W17-6810		 	graph algebra
"Rik van Noord, Johan Bos"	Dealing with Co-reference in Neural Semantic Parsing	Workshop on Semantic Deep Learning	2017	http://www.aclweb.org/anthology/W17-7306		 	co-ref
Chuan Wang and Nianwen Xue	Getting the Most out of AMR Parsing	Proc. EMNLP	2017	http://www.cs.brandeis.edu/%7Ecwang24/files/emnlp17.pdf		"Parsing, +Neural, +Transition-based"	
"Xiaochang Peng, Chuan Wang, Daniel Gildea, and Nianwen Xue"	Addressing the Data Sparsity Issue in Neural AMR Parsing 	Proc. EACL	2017	http://www.cs.brandeis.edu/~cwang24/files/eacl17.pdf		"Parsing, Neural"	
"J. Flanigan, S. Thomson, J. Carbonell, C. Dyer, N. Smith"	A Discriminative Graph-Based Parser for the Abstract Meaning Representation 	Proc. ACL	2014	http://www.cs.cmu.edu/%7Ejmflanig/flanigan+etal.acl2014.pdf		Parsing +graph-based	
"J. Flanigan, C. Dyer, N. A. Smith and J. Carbonell"	Generation from Abstract Meaning Representation using Tree Transducers	Proc. NAACL	2016	http://www.cs.cmu.edu/%7Ejmflanig/flanigan+etal.naacl2016.pdf		Generation/Summarization	
Ulf Hermjakob	"AMR Editor (annotation tool, built and maintained by Ulf Hermjakob). "			http://www.isi.edu/~ulf/amr/AMR-editor.html		Annotation scheme	
Ulf Hermjakob	“AMR Annotation Dictionary” (maintained by Ulf Hermjakob).			http://www.isi.edu/~ulf/amr/lib/amr-dict.html		Annotation scheme	
"F. Braune, D. Bauer, and K. Knight"	Mapping between English Strings and Reentrant Semantic Graphs	Proc. LREC	2014	http://www.isi.edu/natural-language/mt/boygirl_paper_lrec.pdf		"Parsing, +graph grammar"	
"B. Jones, J. Andreas, D. Bauer, K-M. Hermann, and K. Knight"	Semantics-Based Machine Translation with Hyperedge Replacement Grammars	Proc. COLING	2012	http://www.isi.edu/natural-language/people/sembmt-coling-12.pdf		"Parsing, +graph grammar"	
"N. Xue, O. Bojar, J. Hajic, M. Palmer, Z. Uresova, X. Zhang"	"Not an Interlingua, but Close: Comparison of English AMRs to Chinese and Czech"	Proc. LREC	2014	http://www.lrec-conf.org/proceedings/lrec2014/pdf/384_Paper.pdf		Multilingual	
"Tim O'Gorman, Sameer Pradhan, Martha Palmer, Julia Bonn, Kathryn Conger, James Gung"	The New Propbank: Aligning Propbank with AMR through POS Unification	LREC	2018	http://www.lrec-conf.org/proceedings/lrec2018/pdf/1074.pdf		Annotation scheme	aligning propbank
"Charles Welch, Jonathan K. Kummerfeld, Song Feng, Rada Mihalcea"	World Knowledge for Abstract Meaning Representation Parsing	LREC	2018	http://www.lrec-conf.org/proceedings/lrec2018/pdf/1085.pdf		 	world knowledge
"Noelia Migueles-Abraira, Rodrigo Agerri, Arantza Diaz de Ilarraza"	Annotating Abstract Meaning Representations for Spanish	LREC	2018	http://www.lrec-conf.org/proceedings/lrec2018/pdf/743.pdf		Multilingual	spanish
"Claire Bonial, Bianca Badarau, Kira Griffitt, Ulf Hermjakob, Kevin Knight, Tim O'Gorman, Martha Palmer, Nathan Schneider"	"Abstract Meaning Representation of Constructions: The More We Include, the Better the Representation"	LREC	2018	http://www.lrec-conf.org/proceedings/lrec2018/pdf/856.pdf		Annotation scheme	constructions
Melanie Tosik	Abstract Meaning Representation: a survey		2015	http://www.melanietosik.com/files/amr.pdf		Overview	
"A. Mitra, C. Baral"	Addressing a Question Answering Challenge by Combining Statistical Methods with Inductive Rule Learning and Reasoning	Proc. AAAI	2016	http://www.public.asu.edu/%7Ecbaral/papers/aaai2016-sub.pdf		Applications	
"H. Björklund, F. Drewes, P. Ericson"	Between a Rock and a Hard Place -- Uniform Parsing for Hyperedge Replacement DAG Grammars	Proc. LATA	2016	http://www8.cs.umu.se/research/uminf/reports/2015/013/part1.pdf		"Parsing, +graph grammar"	
